prompt,response
What is the minimum balance required when using the Electronic Money Card (KUE)?,"If using Electronic Money Card (EMC) such as e-money (Bank Mandiri), Flazz (Bank BCA), Tap-Cash (Bank BNI), Brizzi (Bank BRI), Jakcard (Bank DKI), and Jak Lingko (Bank DKI/BNI), each bank must have a minimum balance of Rp 8,500,-."
Can you top up the KUE balance at LRT Jakarta stations?,Top up KUE balance can be done at all Jakarta LRT stations with the assistance of an officer through the Passenger Agent Office (PAO) ticket payment counter.
What are the uses of the LRT Jakarta vending machine tickets?,"Ticket Vending Machine (TVM) can be used to purchase single trip tickets, top up balance (revalue), and refund fare deposits."
Is there a park & ride facility available for LRT Jakarta customers?,"As of February 6, 2020, there is a Park & Ride parking facility specifically for LRT Jakarta customers available at Summarecon Mall Kelapa Gading."
Where are the designated park & ride locations for LRT Jakarta?,"There are 2 parking locations available for four-wheeled vehicles (cars), namely in the Basement Parking La Piazza area and the Outdoor Mall Kelapa Gading 1 Parking Building. As for motorcycle parking, it is located in the Basement Parking Building 1 on Jl. Mandiri Tengah."
What is the parking fee at LRT Jakarta's park & ride?,"The special rate given for LRT Jakarta customers applies normally and is a flat rate of Rp 5,000 (for four-wheeled vehicles) and Rp 2,000 (for two-wheeled vehicles)."
How does the operational procedure for LRT Jakarta's park & ride work?,"This Park & Ride operational is valid from Monday to Friday starting at 05.30 - 24.00 (weekends & national holidays are not valid). If the vehicle is parked for more than 24 hours, an additional fee will be imposed according to the applicable regulations at the time of departure."
How does the mechanism and terms of use for the park & ride facility work?,It can be done by showing the vehicle registration certificate (STNK) and parking ticket to be stamped by the ticket officer at the North Boulevard Station. The stamped parking ticket must be paid directly upon exiting the parking gate of Summarecon Mall Kelapa Gading.
What is the guide to riding the MRT?,"Before entering Jakarta MRT station, you will go through body checking.
You can purchase single trip tickets (STT) or multi trip tickets (MTT) through ticket counters or ticket vending machines (TVM).
If you already have a Jakarta MRT ticket, you can directly tap in at the passenger gate.
You can queue behind the safe line and inside the queue line.
Prioritize passengers getting off before entering the train.
After arriving at the destination station, tap your ticket again (tap out) at the passenger gate.
As a Jakarta MRT passenger, always obey the instructions and directions of the staff."
Which cards can be used on the MRT?,"Multi trip Explorer card (multi trip), single trip card, and Jaklingko
Bank-issued electronic money cards: Brizzi, Flazz, E-money, TapCash, and JakCard
QR code via MRT-J app: AstraPay, i.Saku, and blu."
What is the route of Jakarta's MRT phase 1?,"Station 1: Lebak Bulus Grab
Station 2: Fatmawati
Station 3: Haji Nawi
Station 4: Blok A
Station 5: Blok M BCA
Station 6: ASEAN
Station 7: Istora Mandiri
Station 8: Bendungan Hilir
Station 9: Setiabudi Astra
Station 10: Dukuh Atas BNI
Station 11: Bundaran HI"
How much is the fare for the Jakarta MRT from Lebak Bulus Grab Station?,"Fatmawati Destination: Rp4,000
Cipete Raya Destination: Rp5,000
Haji Nawi Destination: Rp6,000
Blok A Destination: Rp7,000
Blok M BCA Destination: Rp8,000
ASEAN Destination: Rp9,000
Senayan Destination: Rp10,000
Istora Mandiri Destination: Rp11,000
Bendungan Hilir Destination: Rp12,000
Setiabudi Astra Destination: Rp13,000
Dukuh Atas BNI Destination: Rp14,000
Bundaran HI Destination: Rp14,000"
How much is the fare for the Jakarta MRT from Fatmawati Station?,"Lebak Bulus Grab destination: Rp4,000
Cipete Raya destination: Rp4,000
Haji Nawi destination: Rp5,000
Blok A destination: Rp6,000
Blok M BCA destination: Rp7,000
ASEAN destination: Rp7,000
Senayan destination: Rp9,000
Istora Mandiri destination: Rp9,000
Bendungan Hilir destination: Rp10,000
Setiabudi Astra destination: Rp11,000
Dukuh Atas BNI destination: Rp12,000
Bundaran HI destination: Rp13,000"
How much is the fare for the Jakarta MRT from Cipete Raya Station?,"Lebak Bulus Grab destination: Rp5,000
Fatmawati destination: Rp4,000
Haji Nawi destination: Rp3,000
Blok A destination: Rp4,000
Blok M BCA destination: Rp5,000
ASEAN destination: Rp6,000
Senayan destination: Rp7,000
Istora Mandiri destination: Rp8,000
Bendungan Hilir destination: Rp9,000
Setiabudi Astra destination: Rp9,000
Dukuh Atas BNI destination: Rp10,000
Bundaran HI destination: Rp11,000"
How much is the fare for the Jakarta MRT from Haji Nawi Station?,"Destination Lebak Bulus Grab: Rp6,000
Destination Fatmawati: Rp5,000
Destination Cipete Raya: Rp3,000
Destination Blok A: Rp3,000
Destination Blok M BCA: Rp4,000
Destination ASEAN: Rp5,000
Destination Senayan: Rp6,000
Destination Istora Mandiri: Rp7,000
Destination Bendungan Hilir: Rp8,000
Destination Setiabudi Astra: Rp8,000
Destination Dukuh Atas BNI: Rp9,000
Destination Bundaran HI: Rp10,000"
How much is the fare for the Jakarta MRT from Blok A Station?,"Lebak Bulus Grab destination: Rp7,000
Fatmawati destination: Rp6,000
Cipete Raya destination: Rp4,000
Haji Nawi destination: Rp3,000
Blok M BCA destination: Rp3,000
ASEAN destination: Rp4,000
Senayan destination: Rp5,000
Istora Mandiri destination: Rp6,000
Bendungan Hilir destination: Rp7,000
Setiabudi Astra destination: Rp7,000
Dukuh Atas BNI destination: Rp8,000
Bundaran HI destination: Rp9,000"
How much is the fare for the Jakarta MRT from Blok M BCA Station?,"Lebak Bulus Grab Destination: Rp8.000
Fatmawati Destination: Rp7.000
Cipete Raya Destination: Rp5.000
Haji Nawi Destination: Rp4.000
Blok A Destination: Rp3.000
ASEAN Destination: Rp3.000
Senayan Destination: Rp4.000
Istora Mandiri Destination: Rp5.000
Bendungan Hilir Destination: Rp6.000
Setiabudi Astra Destination: Rp6.000
Dukuh Atas BNI Destination: Rp7.000
Bundaran HI Destination: Rp8.000"
How much is the fare for the Jakarta MRT from ASEAN Station?,"Lebak Bulus Grab destination: Rp9,000
Fatmawati destination: Rp7,000
Cipete Raya destination: Rp6,000
Haji Nawi destination: Rp5,000
Blok A destination: Rp4,000
Blok M BCA destination: Rp3,000
Senayan destination: Rp3,000
Istora Mandiri destination: Rp4,000
Bendungan Hilir destination: Rp5,000
Setiabudi Astra destination: Rp6,000
Dukuh Atas BNI destination: Rp7,000
Bundaran HI destination: Rp7,000"
How much is the fare for the Jakarta MRT from Senayan Station?,"Lebak Bulus Grab Destination: Rp11,000
Fatmawati Destination: Rp9,000
Cipete Raya Destination: Rp8,000
Haji Nawi Destination: Rp7,000
Blok A Destination: Rp6,000
Blok M BCA Destination: Rp5,000
ASEAN Destination: Rp4,000
Istora Mandiri Destination: Rp3,000
Bendungan Hilir Destination: Rp3,000
Setiabudi Astra Destination: Rp3,000
Dukuh Atas BNI Destination: Rp4,000
Bundaran HI Destination: Rp5,000"
How much is the fare for the Jakarta MRT from Istora Mandiri Station?,"Lebak Bulus Grab Destination: Rp11,000
Fatmawati Destination: Rp9,000
Cipete Raya Destination: Rp8,000
Haji Nawi Destination: Rp7,000
Blok A Destination: Rp6,000
Blok M BCA Destination: Rp5,000
ASEAN Destination: Rp4,000
Senayan Destination: Rp3,000
Bendungan Hilir Destination: Rp3,000
Setiabudi Astra Destination: Rp3,000
Dukuh Atas BNI Destination: Rp4,000
Bundaran HI Destination: Rp5,000"
How much is the fare for the Jakarta MRT from Bendungan Hilir Station?,"Destination Lebak Bulus Grab: Rp12.000
Destination Fatmawati: Rp10.000
Destination Cipete Raya: Rp9.000
Destination Haji Nawi: Rp8.000
Destination Blok A: Rp7.000
Destination Blok M BCA: Rp6.000
Destination ASEAN: Rp5.000
Destination Senayan: Rp4.000
Destination Istora Mandiri: Rp3.000
Destination Setiabudi Astra: Rp3.000
Destination Dukuh Atas BNI: Rp3.000
Destination Bundaran HI: Rp4.000"
How much is the fare for the Jakarta MRT from Setiabudi Astra Station?,"Lebak Bulus Grab destination: Rp13,000
Fatmawati destination: Rp11,000
Cipete Raya destination: Rp9,000
Haji Nawi destination: Rp8,000
Blok A destination: Rp7,000
Blok M BCA destination: Rp6,000
ASEAN destination: Rp6,000
Senayan destination: Rp4,000
Istora Mandiri destination: Rp3,000
Bendungan Hilir destination: Rp3,000
Dukuh Atas BNI destination: Rp3,000
Bundaran HI destination: Rp4,000"
How much is the fare for the Jakarta MRT from Dukuh Atas BNI Station?,"Lebak Bulus Grab destination: Rp14,000
Fatmawati destination: Rp12,000
Cipete Raya destination: Rp10,000
Haji Nawi destination: Rp9,000
Blok A destination: Rp8,000
Blok M BCA destination: Rp7,000
ASEAN destination: Rp7,000
Senayan destination: Rp5,000
Istora Mandiri destination: Rp4,000
Bendungan Hilir destination: Rp3,000
Setiabudi Astra destination: Rp3,000
Bundaran HI destination: Rp3,000"
What is the fare for the Jakarta MRT from Bundaran HI Station?,"Lebak Bulus Grab destination: Rp14,000
Fatmawati destination: Rp13,000
Cipete Raya destination: Rp11,000
Haji Nawi destination: Rp10,000
Blok A destination: Rp9,000
Blok M BCA destination: Rp8,000
ASEAN destination: Rp7,000
Senayan destination: Rp6,000
Istora Mandiri destination: Rp5,000
Bendungan Hilir destination: Rp4,000
Setiabudi Astra destination: Rp4,000
Dukuh Atas BNI destination: Rp3,000"
Which Transjakarta bus stops are served by route 1: BLOK M - KOTA?,City-Museum Fatahillah-Kali Besar Barat-Glodok-Olimo-Mangga Besar-Sawah Besar-Harmoni-Monas (National Monument)-Bank Indonesia-M.H. Thamrin-HI Roundabout Astra-Tosari-Dukuh Atas 1-Karet Sudirman-Bendungan Hilir-Metro Jaya Police Headquarters-Gelora Bung Karno-Senayan Roundabout-Al-Azhar Grand Mosque-Attorney General-ASEAN-Blok M.
Which Transjakarta bus stops are served by route 2: PULO GADUNG 1 - MONAS?,"Pulogadung 1-Bermis-Pulomas-ASMI-Pedongkelan-Cempaka Timur-RS Islam-Cempaka Tengah-Pasar Cempaka Putih-Rawa Selatan-Galur-Pasar Senen-Senen Raya-RSPAD-Deplu-Gambir 1-Istiqlal-Juanda-Pecenongan-Monas (Monumen Nasional)-Balai Kota-Gambir 2-Kwitang

Pulogadung 1-Bermis-Pulomas-ASMI-Pedongkelan-Cempaka Timur-RS Islam-Cempaka Tengah-Pasar Cempaka Putih-Rawa Selatan-Galur-Pasar Senen-Senen Raya-RSPAD-Deplu-Gambir 1-Istiqlal-Juanda-Pecenongan-Monas (Monumen Nasional)-Balai Kota-Gambir 2-Kwitang"
Which Transjakarta bus stops are served by route 2A: PULOGADUNG 1 - RAWA BUAYA?,"Pulogadung 1 - Bermis - Pulomas - ASMI - Pedongkelan - Cempaka Timur - RS Islam - Cempaka Tengah - Pasar Cempaka Putih - Rawa Selatan - Galur - Senen - Kwitang - Balai Kota - Petojo - RS Sumber Waras - Grogol 1 - Jelambar - Indosiar - Taman Kota - Jembatan Gantung - Dispenda Samsat Barat - Jembatan Baru - Rawa Buaya

Pulogadung 1 - Bermis - Pulomas - ASMI - Pedongkelan - East Cempaka - Islamic Hospital - Central Cempaka - Cempaka Putih Market - South Rawa - Galur - Senen - Kwitang - City Hall - Petojo - Sumber Waras Hospital - Grogol 1 - Jelambar - Indosiar - City Park - Hanging Bridge - West Tax Office - New Bridge - Rawa Buaya"
Which Transjakarta bus stops are served by route 3: KALIDERES - MONAS VIA VETERAN?,"Kalideres - Pesakih - Sumur Bor - Rawa Buaya - Jembatan Baru - Dispenda Samsat Barat - Jembatan Gantung - Taman Kota - Indosiar - Jelambar - Grogol 1 - RS Sumber Waras - Petojo - Monas (Monumen Nasional)

Kalideres - Pesakih - Drilling Well - Rawa Buaya - New Bridge - West Jakarta Regional Tax Office - Suspension Bridge - City Park - Indosiar - Jelambar - Grogol 1 - Sumber Waras Hospital - Petojo - Monas (National Monument)"
Which Transjakarta bus stops are served by route 3F: KALIDERES - GELORA BUNG KARNO?,"Kalideres - Pesakih - Sumur Bor - Rawa Buaya - Jembatan Baru - Dispenda Samsat Barat - Jembatan Gantung - Taman Kota - Indosiar - Jelambar - Grogol 2 - S. Parman Podomoro City - RS Harapan Kita - Slipi Kemanggisan - Slipi Petamburan - Senayan JCC - Gelora Bung Karno

Kalideres - Pesakih - Sumur Bor - Rawa Buaya - Jembatan Baru - Dispenda Samsat Barat - Jembatan Gantung - Taman Kota - Indosiar - Jelambar - Grogol 2 - S. Parman Podomoro City - RS Harapan Kita - Slipi Kemanggisan - Slipi Petamburan - Senayan JCC - Gelora Bung Karno"
Which Transjakarta bus stops are served by route 4: PULOGADUNG 2 - DUKUH ATAS 2?,Pulogadung 2 - Pasar Pulogadung - Task - Layur - Pemuda Rawamangun - Velodrome - Sunan Giri - UNJ - Pramuka BPKP - Pramuka LIA - Utan Kayu - Pasar Genjing - Matraman 2 - Manggarai - Pasar Rumput - Halimun - Dukuh Atas 2
Which Transjakarta bus stops are served by route 4D: PULOGADUNG 2 - KUNINGAN?,Current usage has exceeded your plan's limits. Please upgrade to a paid plan at https://sheetgpt.ai/pricing to immediately increase your usage limits.
Which Transjakarta bus stops are served by route 5: KAMPUNG MELAYU - ANCOL?,Kampung Melayu - Jatinegara RS Premier - Pasar Jatinegara - Matraman Baru - Slamet Riyadi - Tegalan - Matraman 1 - Salemba Carolus - Salemba UI - Kramat Sentiong - Pal Putih - Senen Central - Budi Utomo - Pasar Baru Timur - Jembatan Merah - Gunung Sahari Mangga Dua - Pademangan - Ancol
Which Transjakarta bus stops are served by route 5C: PGC 2 - JUANDA?,Harmoni Sentral - Pecenongan - Juanda - Pasar Baru (direction to PGC) - Pal Putih - Kramat Sentiong NU - Salemba UI - Salemba Carolus - Matraman 1 (direction to Harmoni) - Tegalan - Slamet Riyadi - Kebon Pala - Pasar Jatinegara (direction to PGC) - Jatinegara RS Premier (direction to PGC) - Kampung Melayu (direction to Harmoni) - Bidara Cina - Gelanggang Remaja - Cawang Otista - BNN - Cawang UKI - BKN - PGC 1
Which Transjakarta bus stops are served by route 6: RAGUNAN - DUKUH ATAS 2?,"Ragunan - Departemen Pertanian - SMK 57 - Jatipadang - Pejaten Philips - Buncit Indah - Warung Jati - Imigrasi Jakarta Selatan - Duren Tiga - Mampang Prapatan - Kuningan Timur - Patra Kuningan - Departemen Kesehatan - GOR Sumantri - Karet Kuningan - Kuningan Madya - Setiabudi Utara - Latuharhary - Halimun - Dukuh Atas 2

Ragunan - Ministry of Agriculture - 57 Vocational High School - Jatipadang - Pejaten Philips - Buncit Indah - Warung Jati - South Jakarta's Immigration Office - Duren Tiga - Mampang Prapatan - Kuningan Timur - Patra Kuningan - Ministry of Health - GOR Sumantri - Karet Kuningan - Kuningan Madya - North Setiabudi - Latuharhary - Halimun - Dukuh Atas 2"
Which Transjakarta bus stops are served by route 6A: RAGUNAN - BALAI KOTA VIA KUNINGAN?,"Ragunan - Departemen Pertanian - SMK 57 - Jati Padang - Pejaten - Buncit Indah - Warung Jati - Imigrasi Jakarta Selatan - Duren Tiga - Mampang Prapatan - Kuningan Timur - Patra Kuningan - Departemen Kesehatan - GOR Sumantri - Karet Kuningan - Kuningan Madya - Setiabudi Utara AINI - Sarinah - Bank Indonesia - Monumen National 

Ragunan - Ministry of Agriculture - SMK 57 - Jati Padang - Pejaten - Buncit Indah - Warung Jati - South Jakarta Immigration - Duren Tiga - Mampang Prapatan - East Kuningan - Patra Kuningan - Ministry of Health - GOR Sumantri - Karet Kuningan - Kuningan Madya - North Setiabudi AINI - Sarinah - Bank Indonesia - National Monument"
Which Transjakarta bus stops are served by route 6B: RAGUNAN - BALAI KOTA VIA SEMANGGI?,Velodrome - Sunan Giri - UNJ - Pramuka BPKP - Pramuka LIA - Utan Kayu - Pasar Genjing - Matraman 2 - Manggarai - Pasar Rumput - Halimun - Latuharhari (towards Gas Station) - Setiabudi Utara AINI - Kuningan Madya - Karet Kuningan - Sumantri Sports Hall - Ministry of Health - Patra Kuningan - Name of the bus stop - Ragunan.
Which Transjakarta bus stops are served by route 6V: RAGUNAN - GELORA BUNG KARNO?,New Market (towards PGC) - Pal Putih - Kramat Sentiong NU - Salemba UI - Salemba Carolus - Matraman 1 (towards Harmoni) - Tegalan - Slamet Riyadi - Kebon Pala - Jatinegara Market (towards PGC) - Jatinegara RS Premier (towards PGC) - Kampung Melayu (towards Harmoni) - Bidara Cina - Youth Arena - Cawang Otista - BNN - Cawang UKI - BKN - PGC 1 - Name of bus stop - Kampung Rambutan
Which Transjakarta bus stops are served by route 7: KAMPUNG MELAYU - KAMPUNG RAMBUTAN?,"Kampung Melayu - Bidara Cina - Gelanggang Remaja - Cawang Otista - BNN - Cawang Central - BKN - PGC 1 - Pasar Kramat Jati - Pasar Induk Kramat Jati - RS Harapan Bunda - Flyover Raya Bogor - Tanah Merdeka - Kampung Rambutan

Kampung Melayu - Bidara Cina - Youth Arena - Cawang Otista - BNN - Cawang Central - BKN - PGC 1 - Kramat Jati Market - Kramat Jati Wholesale Market - RS Harapan Bunda - Raya Bogor Flyover - Tanah Merdeka - Kampung Rambutan"
Which Transjakarta bus stops are served by route 7F: KAMPUNG RAMBUTAN - JUANDA VIA CEMPAKA PUTIH?,Jati Padang - Pejaten - Buncit Indah - Warung Jati - South Jakarta Immigration - Duren Tiga - Mampang Prapatan - East Kuningan - Kuningan Patra - Department of Health - GOR Sumantri - Karet Kuningan - Kuningan Madya - North Setiabudi - AINI - Sarinah - Bank Indonesia - National Monument - Halte name - Pluit
Which Transjakarta bus stops are served by route 8: LEBAK BULUS - PASAR BARU?,Pasar Baru - Juanda - Pecenongan - Petojo - RS Tarakan - Tomang Mandala - S. Parman Podomoro City - Grogol 2 - Jelambar - Indosiar - Kedoya Green Garden - Kedoya Assiddiqiyah - Duri Kepa - Kebon Jeruk - Kelapa Dua Sasak - Pos Pengumben - RS Medika - ITC Permata Hijau - Simprug - Pasar Kebayoran Lama - Kebayoran Lama Bungur - Tanah Kusir Kodim - Pondok Indah 2 - Pondok Indah 1 - Pondok Pinang - Lebak Bulus
Which Transjakarta bus stops are served by route 9: PINANG RANTI - PLUIT?,Pluit - Penjaringan - Tiga Bridge - Two Bridge - Iron Bridge - Latumeten Grogol Station - Grogol 2 - S. Parman Podomoro City - Harapan Kita Hospital - Slipi Kemanggisan - Slipi Petamburan - Senayan JCC - Semanggi - Gatot Subroto LIPI - Gatot Subroto Jamsostek - West Kuningan - Tegal Parang - West Pancoran - Pancoran Monument - Tebet Eco Park II - Cikoko Cawang Station - Cawang Ciliwung - Cawang BNN - Temporary BNN - Cawang Central - Garuda Taman Mini - Pinang Ranti
Which Transjakarta bus stops are served by route 9A: PGC 2 - LATUMETEN?,"Pramuka BPKP - Pramuka LIA - Utan Kayu - Pasar Genjing - Matraman 2 - Manggarai - Pasar Rumput - Halimun - Latuharhari (arah TU Gas) - Setiabudi Utara AINI - Kuningan Madya - Karet Kuningan - GOR Sumantri - Departemen Kesehatan - Patra Kuningan - Nama halte - Ragunan - Departemen Pertanian - SMK 57 - Jati Padang

Pramuka BPKP - Pramuka LIA - Utan Kayu - Pasar Genjing - Matraman 2 - Manggarai - Pasar Rumput - Halimun - Latuharhari (towards TU Gas) - Setiabudi Utara AINI - Kuningan Madya - Karet Kuningan - GOR Sumantri - Department of Health - Patra Kuningan - (Name of the bus stop) - Ragunan - Ministry of Agriculture - SMK 57 - Jati Padang"
Which Transjakarta bus stops are served by route 9C: PINANG RANTI - BUNDARAN SENAYAN?,Tanjung Priok - Enggano - Permai Koja - North Jakarta Mayor - Plumpang Pertamina - Kelapa Gading Sunter - Yos Sudarso Kodamar - Cempaka Mas 2 - Cempaka Putih - Pulomas Bypass - Kayu Putih Rawasari - Pemuda Pramuka - Utan Kayu Rawamangun - Kramat Jati Wholesale Market - RS Harapan Bunda - Raya Bogor Flyover - Tanah Merdeka (Towards Kampung Melayu) - Kampung Rambutan
Which Transjakarta bus stops are served by route 10: TANJUNG PRIOK - PGC 2?,Tanjung Priok - Enggano - Permai Koja - North Jakarta Mayor - Plumpang Pertamina - Sunter Kelapa Gading - Yos Sudarso Kodamar - Cempaka Mas 2 - Cempaka Putih - Pulomas Bypass - Kayu Putih Rawasari - Pemuda Pramuka - Utan Kayu Rawamangun - Ahmad Yani Customs Office - Jatinegara Station 1 - Pedati Prumpung - Cipinang Kebon Nanas - Penas Kalimalang - Cawang Soetoyo - Cawang Central - BKN - PGC 2
Which Transjakarta bus stops are served by route 10D: TANJUNG PRIOK - KP RAMBUTAN?,Tanjung Priok - Enggano - Permai Koja - North Jakarta Mayor - Plumpang Pertamina - Kelapa Gading Sunter - Yos Sudarso Kodamar - Cempaka Mas 2 - Cempaka Putih - Pulomas Bypass - Kayu Putih Rawasari - Pemuda Pramuka - Utan Kayu Rawamangun - Kramat Jati Wholesale Market - RS Harapan Bunda - Raya Bogor Flyover - Tanah Merdeka (Towards Kampung Melayu) - Kampung Rambutan
Which Transjakarta bus stops are served by route 11: PULOGEBANG - KAMPUNG MELAYU?,Kampung Melayu - Jatinegara RS Premier - Jatinegara Station 2 - Jatinegara Flyover - Enjo Market - East Jakarta Immigration - Cipinang - Klender Station - Klender Flyover - Sumur Village - Buaran - Raden Inten Flyover - Klender Housing Estate - Penggilingan - East Jakarta Mayor - Pulogebang
Which Transjakarta bus stops are served by route 12: PLUIT - TANJUNG PRIOK?,Pluit - Landmark Auto Plaza - Pakin - Gedong Panjang - Fatahillah Museum - Kota - Kali Besar Barat - Bandengan Selatan - Penjaringan - Pangeran Jayakarta - Mangga Dua - Gunung Sahari Mangga Dua - Red Bridge - Runway - Great Lake - Sunter Lake - 140 Middle School - Sunter Karya - West Sunter Boulevard - Sunter Kelapa Gading - Plumpang Pertamina - North Jakarta Mayor - Permai Koja - Enggano - Tanjung Priok
Which Transjakarta bus stops are served by route 13: CILEDUG - TENDEAN?,"CBD Ciledug - Puri Beta 1 - Puri Beta 2 - Adam Malik - JORR - Swadarma - Cipulir - Seskoal - Kebayoran Lama - Velbak - Mayestik - CSW - Tirtayasa - Rawa Barat - Tendean

Direct translation:
CBD Ciledug - Puri Beta 1 - Puri Beta 2 - Adam Malik - JORR - Swadarma - Cipulir - Seskoal - Kebayoran Lama - Velbak - Mayestik - CSW - Tirtayasa - Rawa Barat - Tendean"
Which Transjakarta bus stops are served by route 13C: PURI BETA - DUKUH ATAS?,Puri Beta 2 - Puri Beta 1 - Adam Malik - JORR - Swadarma - Cipulir - Seskoal - Kebayoran Lama - Velbak - Mayestik - CSW - Tirtayasa - Rawa Barat - Masjid Agung - Karet Sudirman - Dukuh Atas 1 - Tosari.
Which Transjakarta bus stops are served by route 13D: PURI BETA 2 - RAGUNAN?,"Puri Beta 2 - Puri Beta 1
(towards Ragunan) - Adam Malik - JORR - Swadarma - Cipulir - Seskoal - Kebayoran Lama - Velbak - Mayestik - CSW - Tirtayasa - Rawa Barat - Tendean - Pancoran Barat 

(towards Ciledug) - Mampang Prapatan 

(towards Ragunan) - Duren Tiga 

(towards Ragunan) - South Jakarta Immigration - Warung Jati - Buncit Indah - Pejaten - Jati Padang - SMK 57 - Department of Agriculture - Ragunan"
Which Transjakarta bus stops are served by route 14: JAKARTA INTERNATIONAL STADIUM - SENEN?,Jakarta International Stadium - Dark Bridge - Sunter Lake - Agung Lake - Runway - Kemayoran - High Ground - Senen Raya - Senen Market
Where can we transfer or change buses at the TU Gas bus stop?,"MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan, 4F Pulo Gadung-Pinang Ranti, 4H Pulo Gadung-Ragunan

Jak Lingko: JAK 17 Pulo Gadung-Senen (via Pemuda)

Direct translation to English:

MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan, 4F Pulo Gadung-Pinang Ranti, 4H Pulo Gadung-Ragunan

Jak Lingko: JAK 17 Pulo Gadung-Senen (via Pemuda)"
Where can we transfer or change buses at the Layur bus stop?,"There is no context given for the translation. Therefore, the translation of the given sentences is as follows:

4 4 (Corridor 4H) 7 (Corridor 7M)

MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan, 11A Layur-Pulo Gebang (via Rawamangun)

Jak Lingko: JAK 17 Pulo Gadung-Senen (via Pemuda)"
Where can we transfer or change buses at the Pemuda Rawamangun bus stop?,"4 4 (Koridor 4H) 7 (Koridor 7M)

MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan, 11A Layur-Pulo Gebang (via Rawamangun)

Jak Lingko: JAK 17 Pulo Gadung-Senen (via Pemuda), JAK 26 Rawamangun-Duren Sawit, JAK 34 Rawamangun-Klender, JAK 59 Rawamangun-Kelapa Gading Barat

Translation:

4 4 (Corridor 4H) 7 (Corridor 7M)

MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan, 11A Layur-Pulo Gebang (via Rawamangun)

Jak Lingko: JAK 17 Pulo Gadung-Senen (via Pemuda), JAK 26 Rawamangun-Duren Sawit, JAK 34 Rawamangun-Klender, JAK 59 Rawamangun-Kelapa Gading Barat"
Where can we transfer or change buses at the Velodrome bus stop?,"MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan
Jak Lingko: JAK 17 Pulo Gadung-Senen (via Pemuda)
JAK 26 Rawamangun-Duren Sawit"
Where can we transfer or change buses at the Sunan Giri bus stop?,"MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan"
Where can we transfer or change buses at the UNJ bus stop?,"MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan

MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, (empty), (empty)"
Where can we transfer or change buses at the Pramuka BPKP bus stop?,"4 4 (Corridor 4H) 5E

MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan

Youth Scout: 10 10 (Corridor 10D) 7 (Corridor 7F) 7 (Corridor 7M)

Suburban Express: B12 Summarecon Bekasi-Tanjung Priok"
Where can we transfer or change buses at the Pramuka LIA bus stop?,"MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan"
Where can we transfer or change buses at the Utan Kayu bus stop?,"4 4 (Koridor 4H) 5E

MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan, 4H Pulo Gadung-Ragunan.

English translation:

MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan, 4H Pulo Gadung-Ragunan."
Where can we transfer or change buses at the Pasar Genjing bus stop?,"4 4 (Koridor 4H) 5E

MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan, 4H Pulo Gadung-Ragunan.

English translation:

MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan, 4H Pulo Gadung-Ragunan."
Where can we transfer or change buses at the Matraman 2 bus stop?,B22 Bekasi-Juanda (via East Bekasi)
Where can we transfer or change buses at the Manggarai bus stop?,Bekasi-Manggarai Suburban Express (via East Bekasi)
Where can we transfer or change buses at the Pasar Rumput bus stop?,"MetroTrans/MiniTrans: 4H Pulo Gadung-Ragunan, 6F Stasiun Manggarai-Ragunan, 6M Stasiun Manggarai-Blok M

MetroTrans/MiniTrans:
4H Pulo Gadung-Ragunan,
6F Manggarai Station-Ragunan,
6M Manggarai Station-Blok M"
Where can we transfer or change buses at the Halimun bus stop?,"4H Pulo Gadung-Ragunan, 6F Stasiun Manggarai-Ragunan, 6M Stasiun Manggarai-Blok M, 6Q Apartemen Taman Rasuna-Kota Kasablanka

MetroTrans/MiniTrans: 4H Pulo Gadung-Ragunan, 6F Manggarai Station-Ragunan, 6M Manggarai Station-Blok M, 6Q Taman Rasuna Apartments-Kota Kasablanka

Jak Lingko: JAK-18 Duren Kalibata Station-Setiabudi Utara-AINI

RoyalTrans: D31 Limo-Halimun"
